Accession	1000 terminals	500 terminals	250 terminals	125 terminals	75 terminals
GB_GCA_000007185.1	YES	YES	NO	NO	NO
GB_GCA_000007345.1	YES	YES	NO	NO	NO
GB_GCA_000011125.1	YES	NO	NO	NO	NO
GB_GCA_000014945.1	YES	NO	NO	NO	NO
GB_GCA_000015805.1	YES	YES	YES	YES	YES
GB_GCA_000018465.1	YES	YES	YES	NO	NO
GB_GCA_000019805.1	YES	YES	NO	NO	NO
GB_GCA_000022445.1	YES	NO	NO	NO	NO
GB_GCA_000145985.1	YES	NO	NO	NO	NO
GB_GCA_000189575.1	YES	YES	YES	NO	NO
GB_GCA_000234805.1	YES	YES	NO	NO	NO
GB_GCA_000247545.1	YES	YES	NO	NO	NO
GB_GCA_000258425.1	YES	NO	NO	NO	NO
GB_GCA_000270325.1	YES	NO	NO	NO	NO
GB_GCA_000303155.1	YES	YES	NO	NO	NO
GB_GCA_000309865.1	YES	YES	YES	NO	NO
GB_GCA_000328525.1	YES	NO	NO	NO	NO
GB_GCA_000389735.1	YES	NO	NO	NO	NO
GB_GCA_000415965.1	YES	YES	YES	NO	NO
GB_GCA_000437055.1	YES	NO	NO	NO	NO
GB_GCA_000495675.1	YES	YES	NO	NO	NO
GB_GCA_000495695.1	YES	YES	YES	NO	NO
GB_GCA_000495735.1	YES	YES	YES	NO	NO
GB_GCA_000508305.1	YES	NO	NO	NO	NO
GB_GCA_000565255.1	YES	YES	YES	YES	YES
GB_GCA_000591035.1	YES	YES	YES	YES	NO
GB_GCA_000828535.1	YES	YES	NO	NO	NO
GB_GCA_000875775.1	YES	YES	NO	NO	NO
GB_GCA_000961135.1	YES	NO	NO	NO	NO
GB_GCA_000969925.1	YES	YES	NO	NO	NO
GB_GCA_000970125.1	YES	NO	NO	NO	NO
GB_GCA_001189275.1	YES	NO	NO	NO	NO
GB_GCA_001402855.1	YES	YES	NO	NO	NO
GB_GCA_001412335.1	YES	NO	NO	NO	NO
GB_GCA_001412355.1	YES	NO	NO	NO	NO
GB_GCA_001443365.1	YES	NO	NO	NO	NO
GB_GCA_001481595.1	YES	NO	NO	NO	NO
GB_GCA_001508615.1	YES	NO	NO	NO	NO
GB_GCA_001508815.1	YES	YES	NO	NO	NO
GB_GCA_001509375.1	YES	NO	NO	NO	NO
GB_GCA_001512385.1	YES	NO	NO	NO	NO
GB_GCA_001516585.1	YES	NO	NO	NO	NO
GB_GCA_001543015.1	YES	YES	NO	NO	NO
GB_GCA_001564275.1	YES	YES	YES	NO	NO
GB_GCA_001577565.1	YES	YES	YES	YES	YES
GB_GCA_001587575.1	YES	NO	NO	NO	NO
GB_GCA_001587605.1	YES	NO	NO	NO	NO
GB_GCA_001587635.1	YES	YES	NO	NO	NO
GB_GCA_001587655.1	YES	YES	YES	NO	NO
GB_GCA_001587695.1	YES	YES	YES	NO	NO
GB_GCA_001593865.1	YES	NO	NO	NO	NO
GB_GCA_001602645.1	YES	NO	NO	NO	NO
GB_GCA_001603195.1	YES	NO	NO	NO	NO
GB_GCA_001717025.1	YES	YES	YES	NO	NO
GB_GCA_001717035.1	YES	YES	YES	NO	NO
GB_GCA_001726015.1	YES	YES	NO	NO	NO
GB_GCA_001896715.1	YES	NO	NO	NO	NO
GB_GCA_001896725.1	YES	YES	NO	NO	NO
GB_GCA_001914405.1	YES	NO	NO	NO	NO
GB_GCA_001940665.1	YES	NO	NO	NO	NO
GB_GCA_002009975.1	YES	YES	YES	NO	NO
GB_GCA_002010045.1	YES	YES	NO	NO	NO
