ortholog group	Spesies#sequence_id
OG10008	Branig#BniB035013_PA, Brarap#BraA01002705, Rapsat#Rsa1.0_00025.1_g00008.1, Schpar#Tp3g10450
OG10014	Branig#BniB004280_PA, Brarap#BraA06004689, Rapsat#Rsa1.0_01707.1_g00007.1, Sisiri#SI_scaffold2426_57
OG10022	Branig#BniB033777_PA, Braole#Bol008758, Brarap#BraA03000441, Rapsat#Rsa1.0_01295.1_g00004.1
OG10030	Branig#BniB016581_PA, Braole#Bol029409, Brarap#BraA10001024, Rapsat#Rsa1.0_04677.1_g00002.1, Schpar#Tp6g14110, Sisiri#SI_scaffold900_10
OG10036	Branig#BniB002706_PA, Braole#Bol042238, Brarap#BraA03006239, Rapsat#Rsa1.0_00101.1_g00038.1
OG10037	Branig#BniB013021_PA, Braole#Bol039528, Brarap#BraA01001549, Rapsat#Rsa1.0_00198.1_g00042.1, Sisiri#SI_scaffold2159_128
OG10042	Branig#BniB016580_PA, Braole#Bol029410, Brarap#BraA10001023, Rapsat#Rsa1.0_04677.1_g00001.1, Sisiri#SI_scaffold900_13
OG10045	Branig#BniB037735_PA, Brarap#BraA02003207, Rapsat#Rsa1.0_00411.1_g00006.1, Schpar#Tp2g25340
OG10049	Aetara#AA_scaffold6109_23, Branig#BniB039087_PA, Braole#Bol010656, Brarap#BraA08003451, Eutsal#Thhalv10027077m, Rapsat#Rsa1.0_00297.1_g00012.1, Schpar#Tp7g21040, Thlarv#Ta06934
OG10050	Branig#BniB013120_PA, Braole#Bol014979, Brarap#BraA01001316, Eutsal#Thhalv10027162m, Rapsat#Rsa1.0_00473.1_g00005.1, Sisiri#SI_scaffold493_1
OG10051	Branig#BniB000531_PA, Braole#Bol042066, Brarap#BraA03006038, Rapsat#Rsa1.0_00248.1_g00021.1
OG10054	Araalp#KFK37355.1, Branig#BniB038281_PA, Braole#Bol021742, Brarap#BraA04003531, Eutsal#Thhalv10001632m, Rapsat#Rsa1.0_01485.1_g00004.1, Schpar#Tp4g27700, Sisiri#SI_scaffold1717_115, Thlarv#Ta07233
OG10055	Branig#BniB048951_PA, Braole#Bol029556, Brarap#BraA03002419, Rapsat#Rsa1.0_00275.1_g00012.1
OG10056	Branig#BniB012085_PA, Braole#Bol030200, Brarap#BraA05004689, Rapsat#Rsa1.0_02273.1_g00002.1
OG10060	Branig#BniB046516_PA, Braole#Bol034952, Brarap#BraA05002585, Rapsat#Rsa1.0_00864.1_g00005.1
OG10061	Aetara#AA_C179075_1, Braole#Bol015227, Camsat#Csa12g042780.1, Rapsat#Rsa1.0_06721.1_g00001.1, Thlarv#Ta07234
OG10063	Branig#BniB000364_PA, Braole#Bol017090, Brarap#BraA03005168, Rapsat#Rsa1.0_00302.1_g00016.1
OG10064	Branig#BniB045680_PA, Braole#Bol036252, Brarap#BraA09002038, Rapsat#Rsa1.0_00056.1_g00051.1
OG10065	Branig#BniB003315_PA, Braole#Bol020634, Brarap#BraA02003116, Rapsat#Rsa1.0_05545.1_g00001.1
OG10069	Branig#BniB007013_PA, Braole#Bol011058, Brarap#BraA04000340, Rapsat#Rsa1.0_23774.1_g00001.1
OG10071	Branig#BniB030377_PA, Braole#Bol045494, Brarap#BraA03005481, Rapsat#Rsa1.0_03462.1_g00003.1_TE
OG10075	Branig#BniB013868_PA, Braole#Bol043407, Brarap#BraA08001628, Rapsat#Rsa1.0_03517.1_g00002.1, Sisiri#SI_scaffold2458_24
OG10082	Branig#BniB007037_PA, Braole#Bol004959, Brarap#BraA04000258, Rapsat#Rsa1.0_00554.1_g00002.1
OG10084	Branig#BniB031714_PA, Brarap#BraA09002703, Sisiri#SI_scaffold2478_87, Thlarv#Ta15094
OG10088	Branig#BniB000949_PA, Braole#Bol024398, Brarap#BraA03005844, Rapsat#Rsa1.0_00119.1_g00017.1, Schpar#Tp7g17670
OG10090	Branig#BniB037470_PA, Braole#Bol009360, Brarap#BraA01000989, Rapsat#Rsa1.0_03009.1_g00004.1, Sisiri#SI_scaffold930_89
OG10105	Branig#BniB007428_PA, Brarap#BraA04000551, Rapsat#Rsa1.0_01425.1_g00009.1, Schpar#Tp5g08060, Sisiri#SI_scaffold2905_26
OG10106	Branig#BniB029977_PA, Braole#Bol025193, Brarap#BraA03004949, Rapsat#Rsa1.0_01783.1_g00003.1
OG10107	Aetara#AA_scaffold2954_19, Branig#BniB047766_PA, Brarap#BraA04001817, Rapsat#Rsa1.0_01930.1_g00004.1, Schpar#Tp4g01590
OG10112	Branig#BniB002738_PA, Braole#Bol042174, Brarap#BraA03006173, Rapsat#Rsa1.0_00070.1_g00005.1
OG10115	Braole#Bol028877, Brarap#BraA01000112, Eutsal#Thhalv10026139m, Sisiri#SI_scaffold3044_19
OG10121	Branig#BniB002472_PA, Brarap#BraA06003199, Eutsal#Thhalv10026116m, Rapsat#Rsa1.0_01468.1_g00007.1, Schpar#Tp7g32000
OG10122	Branig#BniB036901_PA, Braole#Bol013644, Brarap#BraA01000407, Rapsat#Rsa1.0_00344.1_g00022.1, Sisiri#SI_scaffold669_69
OG10126	Branig#BniB031982_PA, Braole#Bol023961, Brarap#BraA07002596, Rapsat#Rsa1.0_00012.1_g00035.1
OG10128	Branig#BniB033606_PA, Brarap#BraA05002381, Eutsal#Thhalv10019025m, Rapsat#Rsa1.0_02641.1_g00001.1, Thlarv#Ta06670
OG10133	Araalp#KFK23068.1, Braole#Bol017059, Brarap#BraA03005230, Rapsat#Rsa1.0_08346.1_g00001.1_partial, Thlarv#Ta01807
OG10135	Branig#BniB000001_PA, Braole#Bol043045, Brarap#BraA06005463, Rapsat#Rsa1.0_00408.1_g00007.1
OG10136	Branig#BniB027290_PA, Braole#Bol033137, Brarap#BraA02002731, Rapsat#Rsa1.0_00968.1_g00004.1
OG10137	Branig#BniB024826_PA, Braole#Bol032290, Brarap#BraA09001758, Rapsat#Rsa1.0_07873.1_g00003.1
OG10141	Branig#BniB042328_PA, Braole#Bol034367, Brarap#BraA03000735, Rapsat#Rsa1.0_01814.1_g00002.1
OG10146	Branig#BniB047129_PA, Brarap#BraA01003190, Eutsal#Thhalv10021390m, Rapsat#Rsa1.0_00636.1_g00016.1, Schpar#Tp3g01370, Sisiri#SI_scaffold1597_120, Thlarv#Ta14110
OG10147	Aetara#AA_scaffold3937_1, Branig#BniB013522_PA, Braole#Bol041762, Brarap#BraA07000714, Schpar#Tp1g23520
OG10153	Branig#BniB017906_PA, Braole#Bol042707, Brarap#BraA06005750, Rapsat#Rsa1.0_01016.1_g00009.1
OG10154	Branig#BniB022120_PA, Brarap#BraA05002645, Rapsat#Rsa1.0_01119.1_g00015.1, Schpar#Tp2g14520, Sisiri#SI_scaffold2549_11
OG10158	Branig#BniB012142_PA, Braole#Bol030199, Brarap#BraA05004690, Rapsat#Rsa1.0_02273.1_g00001.1, Sisiri#SI_scaffold1717_114, Thlarv#Ta07235
OG10188	Branig#BniB031911_PA, Brarap#BraA01002224, Rapsat#Rsa1.0_03564.1_g00003.1_TE, Sisiri#SI_scaffold1106_9
OG10227	Branig#BniB006934_PA, Camsat#Csa11g069740.1, Rapsat#Rsa1.0_20857.1_g00001.1_TE_partial, Sisiri#SI_scaffold571_17
OG10274	Araalp#KFK34779.1, Branig#BniB020111_PA, Braole#Bol027238, Camsat#Csa06g009360.1, Sisiri#SI_C192541_1
