ortholog group	Spesies#sequence_id
OG10016	Droana#FBpp0351191, Droere#FBpp0373230, Dromel#FBpp0086675, Dromoj#FBpp0386738, Dropse#FBpp0271998, Drosim#FBpp0328318, Drovir#FBpp0397165, Drowil#FBpp0375300, Droyak#FBpp0357451
OG10017	Droere#FBpp0372099, Dromel#FBpp0086687, Drosim#FBpp0313789, Droyak#FBpp0360237
OG10018	Droere#FBpp0138723, Dromel#FBpp0111335, Drosec#FBpp0202743, Drosim#FBpp0209181, Droyak#FBpp0257876
OG10028	Droana#FBpp0348603, Dromel#FBpp0297863, Dromoj#FBpp0381323, Drosim#FBpp0321427, Drovir#FBpp0391886
OG10037	Drogri#FBpp0155682, Dromoj#FBpp0383952, Droper#FBpp0175692, Dropse#FBpp0332226, Drovir#FBpp0397904, Drowil#FBpp0379777
OG10043	Droere#FBpp0142409, Dromel#FBpp0090987, Drosec#FBpp0192096, Drosim#FBpp0222309, Droyak#FBpp0263677
OG10050	Droere#FBpp0138504, Dromel#FBpp0072096, Drosec#FBpp0199755, Drosim#FBpp0223378, Drowil#FBpp0251073, Droyak#FBpp0256500
OG10052	Droere#FBpp0372484, Dromel#FBpp0297775, Drosec#FBpp0198553, Drosim#FBpp0320447, Droyak#FBpp0363867
OG10082	Drogri#FBpp0154772, Dromoj#FBpp0159932, Droper#FBpp0177965, Dropse#FBpp0283158, Drovir#FBpp0237549, Drowil#FBpp0242308
OG10120	Drogri#FBpp0153018, Dromoj#FBpp0388993, Droper#FBpp0177735, Dropse#FBpp0337849, Drovir#FBpp0398643, Drowil#FBpp0374447
OG10132	Droere#FBpp0128973, Dromel#FBpp0078927, Drosec#FBpp0197675, Drosim#FBpp0221826, Droyak#FBpp0259054
OG10155	Droere#FBpp0131634, Dromel#FBpp0078294, Drosec#FBpp0192326, Drosim#FBpp0218233, Droyak#FBpp0255185
OG10165	Drogri#FBpp0158775, Dromoj#FBpp0385196, Droper#FBpp0177540, Drovir#FBpp0396975, Drowil#FBpp0254748
OG10182	Droere#FBpp0143151, Dromel#FBpp0077643, Drosec#FBpp0198095, Drosim#FBpp0221322, Droyak#FBpp0260709
OG10184	Droere#FBpp0143572, Dromel#FBpp0077082, Drosec#FBpp0199976, Drosim#FBpp0221709, Droyak#FBpp0263325
OG101	Droana#FBpp0123022, Dromel#FBpp0289585, Drosec#FBpp0199665, Drosim#FBpp0221197, Droyak#FBpp0260006
OG10216	Drogri#FBpp0155893, Dromoj#FBpp0171918, Droper#FBpp0176108, Dropse#FBpp0281040, Drovir#FBpp0237847, Drowil#FBpp0240437
OG10218	Drogri#FBpp0158781, Dromoj#FBpp0163924, Droper#FBpp0178275, Dropse#FBpp0272337
OG10227	Drogri#FBpp0154992, Dromoj#FBpp0387674, Droper#FBpp0187318, Dropse#FBpp0333016, Drovir#FBpp0237568, Drowil#FBpp0378081
OG1022	Droana#FBpp0348937, Droere#FBpp0130312, Dromel#FBpp0085029, Drosec#FBpp0194374, Drosim#FBpp0323461, Droyak#FBpp0255903
OG10232	Droere#FBpp0369623, Dromel#FBpp0085699, Drosec#FBpp0203418, Drosim#FBpp0209840, Drowil#FBpp0249814, Droyak#FBpp0257039
OG10246	Droere#FBpp0129651, Dromel#FBpp0083577, Drosec#FBpp0207876, Drosim#FBpp0219322, Droyak#FBpp0255277
OG10252	Droere#FBpp0138125, Dromel#FBpp0070860, Drosec#FBpp0193949, Drosim#FBpp0215192, Droyak#FBpp0261749
OG10271	Drogri#FBpp0145827, Dromoj#FBpp0164558, Droper#FBpp0180619, Dropse#FBpp0273613, Drowil#FBpp0254701
OG10276	Drogri#FBpp0145455, Dromoj#FBpp0166255, Droper#FBpp0190032, Dropse#FBpp0278911, Drovir#FBpp0239106, Drowil#FBpp0247517
OG10291	Drogri#FBpp0157088, Dromoj#FBpp0159523, Droper#FBpp0176792, Dropse#FBpp0284977, Drovir#FBpp0401046, Drowil#FBpp0243454
OG10292	Droana#FBpp0348090, Droere#FBpp0367053, Drogri#FBpp0156989, Dromel#FBpp0111297, Droper#FBpp0175903, Dropse#FBpp0291283, Drosim#FBpp0325354, Drovir#FBpp0235415, Drowil#FBpp0375311, Droyak#FBpp0361567
OG10301	Drogri#FBpp0158409, Dromoj#FBpp0389551, Droper#FBpp0182405, Dropse#FBpp0337304, Drovir#FBpp0399801, Drowil#FBpp0376286
OG10304	Droere#FBpp0138774, Dromel#FBpp0087141, Drosec#FBpp0202791, Drosim#FBpp0209222, Droyak#FBpp0257398
OG10317	Droere#FBpp0141743, Dromel#FBpp0085333, Drosec#FBpp0198014, Drosim#FBpp0208801, Droyak#FBpp0265746
OG1031	Droere#FBpp0130311, Dromel#FBpp0290205, Dromoj#FBpp0382608, Droper#FBpp0177612, Dropse#FBpp0282951, Drosec#FBpp0194373, Drosim#FBpp0321786, Drovir#FBpp0398037, Drowil#FBpp0243290, Droyak#FBpp0255902
OG10325	Droere#FBpp0136757, Dromel#FBpp0081885, Drosec#FBpp0205428, Drosim#FBpp0217164, Droyak#FBpp0271113
OG10327	Droere#FBpp0137235, Dromel#FBpp0312488, Drosec#FBpp0193799, Drosim#FBpp0322877, Droyak#FBpp0261338
OG10328	Dromoj#FBpp0165365, Droper#FBpp0178304, Drovir#FBpp0230841, Drowil#FBpp0249243
OG1033	Droana#FBpp0345959, Droere#FBpp0132207, Dromel#FBpp0289326, Dromoj#FBpp0162810, Droper#FBpp0186986, Dropse#FBpp0336881, Drosec#FBpp0196454, Drosim#FBpp0213156, Droyak#FBpp0264968
OG10363	Droere#FBpp0137770, Dromel#FBpp0074479, Drosim#FBpp0223274, Droyak#FBpp0260852
OG1037	Droere#FBpp0132209, Dromel#FBpp0289329, Drosec#FBpp0196456, Drosim#FBpp0314350, Droyak#FBpp0264971
OG10386	Drogri#FBpp0147259, Dromoj#FBpp0167477, Dropse#FBpp0332649, Drovir#FBpp0392250, Drowil#FBpp0374989
OG103	Dromel#FBpp0073064, Drosec#FBpp0196100, Drosim#FBpp0212213, Droyak#FBpp0266421
OG10419	Drogri#FBpp0154895, Dromoj#FBpp0170539, Droper#FBpp0184153, Dropse#FBpp0275796, Drovir#FBpp0236012, Drowil#FBpp0379683
OG1041	Droana#FBpp0114632, Droere#FBpp0140761, Dromel#FBpp0110074, Drosec#FBpp0201480, Drosim#FBpp0320093, Droyak#FBpp0259222
OG10428	Droere#FBpp0136136, Dromel#FBpp0071075, Drosec#FBpp0192697, Drosim#FBpp0214537, Droyak#FBpp0356890
OG1042	Droana#FBpp0114883, Droere#FBpp0140389, Drogri#FBpp0154157, Dromel#FBpp0085912, Dromoj#FBpp0168637, Droper#FBpp0174641, Dropse#FBpp0276691, Drosec#FBpp0203321, Drosim#FBpp0209740, Drovir#FBpp0236901, Drowil#FBpp0251388, Droyak#FBpp0256932
OG10434	Droere#FBpp0140491, Dromel#FBpp0085763, Drosec#FBpp0203410, Drosim#FBpp0326331, Droyak#FBpp0257029
OG10447	Droere#FBpp0141848, Dromel#FBpp0087905, Drosec#FBpp0202457, Drosim#FBpp0208910, Droyak#FBpp0264158
OG10470	Droere#FBpp0369556, Dromel#FBpp0306535, Drosim#FBpp0320368, Droyak#FBpp0353934
OG10480	Drogri#FBpp0150357, Dromoj#FBpp0165926, Droper#FBpp0176824, Dropse#FBpp0286000, Drovir#FBpp0226868, Drowil#FBpp0254816
OG10504	Drogri#FBpp0158214, Dromoj#FBpp0387824, Droper#FBpp0179308, Dropse#FBpp0273258, Drovir#FBpp0230114, Drowil#FBpp0373905
OG10507	Droere#FBpp0133031, Dromel#FBpp0072874, Drosec#FBpp0195565, Drosim#FBpp0321297, Droyak#FBpp0266683
OG1050	Droana#FBpp0115435, Droere#FBpp0365367, Drogri#FBpp0154282, Dromel#FBpp0088123, Dromoj#FBpp0169266, Droper#FBpp0175054, Dropse#FBpp0277113, Drosec#FBpp0202289, Drosim#FBpp0318050, Drovir#FBpp0229355, Drowil#FBpp0250669, Droyak#FBpp0269179
OG10511	Drogri#FBpp0154871, Dromoj#FBpp0170518, Droper#FBpp0180370, Dropse#FBpp0306348, Drovir#FBpp0235320, Drowil#FBpp0248685
OG10516	Droere#FBpp0134520, Dromel#FBpp0081458, Drosec#FBpp0205268, Drosim#FBpp0217004, Droyak#FBpp0270948
OG10538	Drogri#FBpp0156715, Dromoj#FBpp0381089, Droper#FBpp0186314, Dropse#FBpp0330772, Drovir#FBpp0397568, Drowil#FBpp0379543
OG10540	Droere#FBpp0129271, Dromel#FBpp0312485, Droper#FBpp0189623, Dropse#FBpp0285620, Drosec#FBpp0202249, Drosim#FBpp0213707, Droyak#FBpp0268771
OG10541	Drogri#FBpp0144642, Dromoj#FBpp0387974, Droper#FBpp0189626, Drosec#FBpp0200096, Drovir#FBpp0400063
OG10553	Drogri#FBpp0146742, Dromoj#FBpp0164137, Droper#FBpp0178712, Dropse#FBpp0338180, Drovir#FBpp0233370, Drowil#FBpp0376055
OG10561	Droere#FBpp0130116, Dromel#FBpp0297777, Drosec#FBpp0197829, Drosim#FBpp0315054, Droyak#FBpp0268765
OG1056	Droana#FBpp0116338, Droere#FBpp0141776, Dromel#FBpp0289586, Droper#FBpp0184733, Dropse#FBpp0277302, Drosec#FBpp0202381, Drosim#FBpp0208834, Droyak#FBpp0264091
OG1059	Droere#FBpp0135212, Dromel#FBpp0110138, Drosec#FBpp0194739, Drosim#FBpp0220860, Droyak#FBpp0354950
OG10611	Drogri#FBpp0151093, Dromoj#FBpp0380854, Droper#FBpp0177674, Dropse#FBpp0282817, Drovir#FBpp0394380, Drowil#FBpp0373695
OG10647	Droere#FBpp0140672, Dromel#FBpp0082873, Drosec#FBpp0196697, Drosim#FBpp0217550, Droyak#FBpp0255129
OG10648	Droere#FBpp0140683, Dromel#FBpp0301286, Drosec#FBpp0196698, Drosim#FBpp0217551, Droyak#FBpp0255131
OG10649	Dromoj#FBpp0173993, Droper#FBpp0187670, Dropse#FBpp0337126, Drovir#FBpp0238843, Drowil#FBpp0240782
OG10652	Drogri#FBpp0155047, Dromoj#FBpp0159694, Droper#FBpp0187483, Dropse#FBpp0283985, Drovir#FBpp0237574, Drowil#FBpp0379470
OG10674	Drogri#FBpp0154190, Dromoj#FBpp0168672, Droper#FBpp0181861, Dropse#FBpp0278175, Drovir#FBpp0235623, Drowil#FBpp0252109
OG1068	Droere#FBpp0139393, Dromel#FBpp0082594, Drosec#FBpp0207277, Drosim#FBpp0218779
OG10698	Droere#FBpp0138186, Dromel#FBpp0071010, Drosec#FBpp0198992, Drosim#FBpp0315212, Droyak#FBpp0260722
OG106	Droere#FBpp0143027, Dromel#FBpp0077373, Drosec#FBpp0199666, Drosim#FBpp0221198, Droyak#FBpp0260009
OG10725	Drogri#FBpp0146163, Dromoj#FBpp0160234, Droper#FBpp0182413, Dropse#FBpp0330598, Drovir#FBpp0230034
OG10726	Droere#FBpp0133431, Dromel#FBpp0072820, Drosec#FBpp0195986, Drosim#FBpp0212107, Droyak#FBpp0265346
OG10750	Droere#FBpp0133336, Dromel#FBpp0072577, Drosec#FBpp0195886, Drosim#FBpp0316019, Droyak#FBpp0266163
OG10759	Drogri#FBpp0151715, Dromoj#FBpp0163820, Droper#FBpp0177539, Dropse#FBpp0273234, Drovir#FBpp0233428, Drowil#FBpp0254747
OG10774	Drogri#FBpp0151610, Droper#FBpp0177467, Dropse#FBpp0273201, Drovir#FBpp0398458, Drowil#FBpp0378703
OG1077	Droana#FBpp0342905, Dromel#FBpp0082210, Droper#FBpp0188573, Drosec#FBpp0205576
OG10785	Drogri#FBpp0148702, Dromoj#FBpp0161068, Droper#FBpp0179821, Dropse#FBpp0338551, Drovir#FBpp0227966, Drowil#FBpp0239559
OG10787	Drogri#FBpp0145563, Dromoj#FBpp0167176, Droper#FBpp0179507, Dropse#FBpp0280832, Drovir#FBpp0232149, Drowil#FBpp0253497
