ortholog group	Spesies#sequence_id
FG1000	Ashbya_gossypii#lcl, AEL054C, Aspergillus_fumigatus#gi, 70999878, ref, XP_754656.1, , Aspergillus_nidulans#AN3073, Aspergillus_oryzae#AO090005001286, Botrytis_cinerea#BC1G_14618.1, Candida_glabrata#gi, 50293427, ref, XP_449125.1, , Candida_lusitaniae#CLUG_01667.1, Coccidioides_immitis#CIMG_01902.2, Cryptococcus_neoformans#gi, 58266942, ref, XP_570627.1, , Debaryomyces_hansenii#gi, 50419499, ref, XP_458276.1, , Fusarium_graminearum#FG10797.1, Kluyveromyces_lactis#gi, 50303123, ref, XP_451499.1, , Magnaporthe_grisea#MGG_06566.5, Neurospora_crassa#NCU06866.2, Phanerochaete_chrysosporium#jgi, Phchr1, 136200, e_gww2.7.276, Rhizopus_oryzae#RO3G_00195.1, Saccharomyces_bayanus#ORFP:2693, Saccharomyces_castelli#ORFP:Scas_Contig628.24, Saccharomyces_cerevisiae#gi, 6319872, ref, NP_009953.1, , Saccharomyces_kudriavzevi#ORFP:Skud_Contig2048.9, Saccharomyces_mikatae#ORFP:1971, Saccharomyces_paradoxus#ORFP:2512, Schizosaccharomyces_pombe#gi, 19111871, ref, NP_595079.1, , Sclerotinia_sclerotiorum#SS1G_11155.1, Stagonospora_nodorum#SNU14517.1, Trichoderma_reesei#35732, Ustilago_maydis#UM04607.1, Yarrowia_lipolytica#gi, 50552304, ref, XP_503562.1, 
FG10002	Chaetomium_globosum#CHG09824.1, Fusarium_graminearum#FG07509.1, Magnaporthe_grisea#MGG_04897.5, Neurospora_crassa#NCU09444.2
FG10004	Chaetomium_globosum#CHG00229.1, Magnaporthe_grisea#MGG_06549.5, Neurospora_crassa#NCU09455.2, Stagonospora_nodorum#SNU01685.1
FG10005	Chaetomium_globosum#CHG01863.1, Magnaporthe_grisea#MGG_00530.5, Neurospora_crassa#NCU03254.2, Trichoderma_reesei#8752
FG10013	Chaetomium_globosum#CHG09813.1, Magnaporthe_grisea#MGG_08981.5, Neurospora_crassa#NCU06926.2, Trichoderma_reesei#44244
FG10014	Chaetomium_globosum#CHG00926.1, Fusarium_graminearum#FG01176.1, Neurospora_crassa#NCU08594.2, Trichoderma_reesei#40602
FG10016	Chaetomium_globosum#CHG01892.1, Fusarium_graminearum#FG02760.1, Stagonospora_nodorum#SNU08131.1, Trichoderma_reesei#39453
FG10017	Chaetomium_globosum#CHG02005.1, Fusarium_graminearum#FG02940.1, Magnaporthe_grisea#MGG_09030.5, Stagonospora_nodorum#SNU01152.1
FG10020	Chaetomium_globosum#CHG10061.1, Fusarium_graminearum#FG07794.1, Magnaporthe_grisea#MGG_07566.5, Stagonospora_nodorum#SNU05152.1
FG10021	Chaetomium_globosum#CHG01241.1, Coccidioides_immitis#CIMG_06630.2, Magnaporthe_grisea#MGG_08381.5, Stagonospora_nodorum#SNU00310.1
FG10031	Chaetomium_globosum#CHG10860.1, Magnaporthe_grisea#MGG_00578.5, Trichoderma_reesei#35203, Ustilago_maydis#UM06478.1
FG10032	Coccidioides_immitis#CIMG_00536.2, Fusarium_graminearum#FG07921.1, Magnaporthe_grisea#MGG_00281.5, Trichoderma_reesei#40336
FG10034	Coccidioides_immitis#CIMG_01906.2, Magnaporthe_grisea#MGG_08748.5, Stagonospora_nodorum#SNU06070.1, Trichoderma_reesei#37935
FG10035	Aspergillus_oryzae#AO090701000842, Coccidioides_immitis#CIMG_02793.2, Fusarium_graminearum#FG06081.1, Trichoderma_reesei#20217
FG10039	Coccidioides_immitis#CIMG_04326.2, Fusarium_graminearum#FG03625.1, Magnaporthe_grisea#MGG_05084.5, Trichoderma_reesei#32777
FG10041	Coccidioides_immitis#CIMG_07201.2, Fusarium_graminearum#FG09969.1, Magnaporthe_grisea#MGG_00785.5, Trichoderma_reesei#45261
FG10047	Fusarium_graminearum#FG00523.1, Neurospora_crassa#NCU00957.2, Stagonospora_nodorum#SNU15174.1, Trichoderma_reesei#9036
FG10048	Fusarium_graminearum#FG00974.1, Magnaporthe_grisea#MGG_01570.5, Neurospora_crassa#NCU10529.2, Trichoderma_reesei#45825
FG10050	Fusarium_graminearum#FG01437.1, Magnaporthe_grisea#MGG_08559.5, Neurospora_crassa#NCU01739.2, Trichoderma_reesei#13068
FG10052	Fusarium_graminearum#FG02045.1, Magnaporthe_grisea#MGG_05358.5, Sclerotinia_sclerotiorum#SS1G_12600.1, Stagonospora_nodorum#SNU12151.1
FG10053	Fusarium_graminearum#FG02096.1, Magnaporthe_grisea#MGG_05446.5, Neurospora_crassa#NCU01218.2, Trichoderma_reesei#46183
FG10055	Fusarium_graminearum#FG02263.1, Magnaporthe_grisea#MGG_10060.5, Stagonospora_nodorum#SNU15417.1, Trichoderma_reesei#39673
FG10059	Fusarium_graminearum#FG03557.1, Magnaporthe_grisea#MGG_08461.5, Stagonospora_nodorum#SNU08869.1, Trichoderma_reesei#30039
FG10060	Fusarium_graminearum#FG03668.1, Phanerochaete_chrysosporium#jgi, Phchr1, 2370, fgenesh1_pg.C_, Trichoderma_reesei#34046, Ustilago_maydis#UM00042.1
FG10061	Aspergillus_oryzae#AO090023000455, Fusarium_graminearum#FG03928.1, Magnaporthe_grisea#MGG_09444.5, Stagonospora_nodorum#SNU09589.1
FG10062	Aspergillus_oryzae#AO090138000117, Fusarium_graminearum#FG03929.1, Magnaporthe_grisea#MGG_12037.5, Stagonospora_nodorum#SNU09587.1
FG10067	Fusarium_graminearum#FG04929.1, Magnaporthe_grisea#MGG_01315.5, Sclerotinia_sclerotiorum#SS1G_05919.1, Trichoderma_reesei#39192
FG10072	Fusarium_graminearum#FG05691.1, Magnaporthe_grisea#MGG_04177.5, Neurospora_crassa#NCU04444.2, Trichoderma_reesei#30790
FG10074	Fusarium_graminearum#FG05835.1, Magnaporthe_grisea#MGG_05926.5, Phanerochaete_chrysosporium#jgi, Phchr1, 130463, e_gwh2.18.92, Stagonospora_nodorum#SNU14175.1
FG10076	Fusarium_graminearum#FG05981.1, Magnaporthe_grisea#MGG_07326.5, Neurospora_crassa#NCU03588.2, Trichoderma_reesei#34435
FG10078	Fusarium_graminearum#FG06102.1, Magnaporthe_grisea#MGG_04041.5, Neurospora_crassa#NCU03807.2, Trichoderma_reesei#34276
FG10079	Fusarium_graminearum#FG06176.1, Magnaporthe_grisea#MGG_13191.5, Neurospora_crassa#NCU06343.2, Trichoderma_reesei#33034
FG10080	Fusarium_graminearum#FG06186.1, Magnaporthe_grisea#MGG_01437.5, Neurospora_crassa#NCU06979.2, Trichoderma_reesei#33225
FG10083	Fusarium_graminearum#FG06673.1, Magnaporthe_grisea#MGG_05225.5, Neurospora_crassa#NCU06235.2, Stagonospora_nodorum#SNU14772.1
FG10086	Fusarium_graminearum#FG06897.1, Magnaporthe_grisea#MGG_08903.5, Neurospora_crassa#NCU08974.2, Trichoderma_reesei#28965
FG10092	Fusarium_graminearum#FG07372.1, Magnaporthe_grisea#MGG_03998.5, Neurospora_crassa#NCU04655.2, Trichoderma_reesei#31696
FG10093	Fusarium_graminearum#FG07394.1, Magnaporthe_grisea#MGG_06942.5, Neurospora_crassa#NCU01434.2, Trichoderma_reesei#31683
FG10096	Fusarium_graminearum#FG07500.1, Magnaporthe_grisea#MGG_05992.5, Neurospora_crassa#NCU06931.2, Trichoderma_reesei#19001
